T(K)	FeO	Fe2O3	Na2O	MgO	Al2O3	SiO2	K2O	CaO	TiO2	Cr2O3	MnO	P2O5	Na-Mg	Na-Al	Na-Si	Na-K	Na-Ca	Na-Ti	Mg-Al	Mg-Si	Mg-K	Mg-Ca	Mg-Ti	Al-Si	Al-K	Al-Ca	Al-Ti	Si-K	Si-Ca	Si-Ti	K-Ca	K-Ti	Ca-Ti	LNGAMMA
1480	0.067192829	0.007171226	0.042816746	0.121616234	0.087737656	0.398704983	0.005419475	0.260000292	0.008659026	0	0.000681532	0	0.048488999	0.034981441	0.158965663	0.002160772	0.103663412	0.003452397	0.000475492	0.002160772	2.94E-05	0.001409065	4.69E-05	0.103663412	0.001409065	0.067600152	0.002251349	4.69E-05	0.002251349	7.50E-05	0	0	5.90E-06	1.583527699
1484	0.068249336	0.006219384	0.043404365	0.122854234	0.085867901	0.399646347	0.004630533	0.258921244	0.009377592	0	0.000829063	0	0.049098246	0.034316793	0.159717203	0.001850576	0.103476929	0.00374772	0.000397614	0.001850576	2.14E-05	0.001198943	4.34E-05	0.103476929	0.001198943	0.067040211	0.002428058	4.34E-05	0.002428058	8.79E-05	0	0	7.77E-06	1.763001585
1636	0.079716319	0.006370598	0.049681616	0.146281428	0.099883576	0.470022293	0.006341231	0.129856174	0.010241899	0	0.001604866	0	0.068755532	0.046947507	0.220920956	0.00298052	0.061035296	0.004813921	0.000633385	0.00298052	4.02E-05	0.000823448	6.49E-05	0.061035296	0.000823448	0.016862626	0.001329974	6.49E-05	0.001329974	0.000104896	0	0	1.64E-05	1.371600625
1636	0.080218779	0.005914441	0.042970781	0.140775831	0.104818193	0.47571396	0.005731607	0.132819483	0.009757785	0	0.001279139	0	0.066969028	0.049863478	0.226303772	0.002726606	0.063184082	0.004641915	0.000600777	0.002726606	3.29E-05	0.000761269	5.59E-05	0.063184082	0.000761269	0.017641015	0.001296024	5.59E-05	0.001296024	9.52E-05	0	0	1.25E-05	1.218764373
1630	0.066322769	0.00959525	0.028174529	0.128749813	0.086730192	0.404117918	0.002569968	0.264279065	0.00898061	0	0.000479887	0	0.052030106	0.035049225	0.163311291	0.00103857	0.106799905	0.003629225	0.000222894	0.00103857	6.60E-06	0.000679189	2.31E-05	0.106799905	0.000679189	0.069843424	0.002373387	2.31E-05	0.002373387	8.07E-05	0	0	4.31E-06	0.368134924
1632	0.065461126	0.00542893	0.020637261	0.124498104	0.090963895	0.410197036	0.001822881	0.270966129	0.008699042	0	0.001325596	0	0.051068753	0.03731312	0.168261608	0.00074774	0.111149503	0.003568321	0.000165816	0.00074774	3.32E-06	0.000493939	1.59E-05	0.111149503	0.000493939	0.073422643	0.002357146	1.59E-05	0.002357146	7.57E-05	0	0	1.15E-05	1.097962768
1636	0.068367937	0.006951613	0.033681427	0.118468942	0.086644336	0.404843754	0.004898547	0.26644624	0.007958432	0	0.001738773	0	0.047961411	0.035077418	0.163898465	0.001983146	0.107869096	0.003221921	0.000424431	0.001983146	2.40E-05	0.001305199	3.90E-05	0.107869096	0.001305199	0.070993599	0.002120494	3.90E-05	0.002120494	6.33E-05	0	0	1.38E-05	0.82012523
1734	0.070417141	0.003005659	0.041986606	0.151426411	0.094979277	0.501908659	0.005728812	0.117786156	0.010501942	6.10E-05	0.001751053	0.000447287	0.076002227	0.047670921	0.251912302	0.00287534	0.059117892	0.005271016	0.000544118	0.00287534	3.28E-05	0.000674775	6.02E-05	0.059117892	0.000674775	0.013873579	0.001236983	6.02E-05	0.001236983	0.000110291	7.18E-06	6.41E-07	1.84E-05	0.922887741
1734	0.082574141	0.005534242	0.011821012	0.166555907	0.074533958	0.428031474	0.012659344	0.180927432	0.034831832	6.34E-05	0.002257921	0.000209309	0.07129117	0.03190288	0.183210943	0.005418597	0.077442635	0.01490912	0.000943551	0.005418597	0.000160259	0.002290423	0.000440948	0.077442635	0.002290423	0.032734736	0.006302034	0.000440948	0.006302034	0.001213257	1.15E-05	2.21E-06	7.86E-05	0.471689746
1732	0.059355992	0.001640523	0.041450329	0.152314611	0.095588047	0.509395957	0.008520669	0.119016335	0.010632505	6.05E-05	0.00173627	0.000288282	0.077588447	0.048692165	0.259484241	0.004340394	0.06062644	0.005416155	0.000814474	0.004340394	7.26E-05	0.001014099	9.06E-05	0.06062644	0.001014099	0.014164888	0.001265442	9.06E-05	0.001265442	0.00011305	7.20E-06	6.43E-07	1.85E-05	1.112195475
1732	0.067738368	0.002139364	0.041215504	0.153444024	0.09541595	0.50311912	0.006647958	0.117492516	0.010720808	6.07E-05	0.001672043	0.000333676	0.077200622	0.048005589	0.253128849	0.003344715	0.059112731	0.005393843	0.000634321	0.003344715	4.42E-05	0.000781085	7.13E-05	0.059112731	0.000781085	0.013804491	0.001259615	7.13E-05	0.001259615	0.000114936	7.13E-06	6.50E-07	1.79E-05	0.978801592
1732	0.084195027	0.002791089	0.013255856	0.167006955	0.074518636	0.431792303	0.004273364	0.18421989	0.035337931	6.30E-05	0.002314961	0.000230989	0.072112318	0.032176573	0.186444593	0.001845206	0.07954473	0.015258646	0.000318445	0.001845206	1.83E-05	0.000787239	0.000151012	0.07954473	0.000787239	0.033936968	0.00650995	0.000151012	0.00650995	0.001248769	1.16E-05	2.23E-06	8.18E-05	0.930361366
